-76,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-76,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-76,1, TEXTURE ,3091,25,30,45,0, FAO , SAMERICA 
-76,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-76,2, TEXTURE ,3089,45,40,15,0, FAO , SAMERICA 
-76,2.5, TEXTURE ,3088,45,40,15,0, FAO , SAMERICA 
-76,3, TEXTURE ,3086,45,40,15,0, FAO , SAMERICA 
-76,3.5, TEXTURE ,3085,45,40,15,0, FAO , SAMERICA 
-76,4, TEXTURE ,3083,45,40,15,0, FAO , SAMERICA 
-76,4.5, TEXTURE ,3081,45,40,15,0, FAO , SAMERICA 
-76,5, TEXTURE ,3078,45,40,15,0, FAO , SAMERICA 
-76,5.5, TEXTURE ,3076,45,40,15,0, FAO , SAMERICA 
-76,6, TEXTURE ,3073,45,40,15,0, FAO , SAMERICA 
-76,6.5, TEXTURE ,3070,45,40,15,0, FAO , SAMERICA 
-76,7, TEXTURE ,3067,25,30,45,0, FAO , SAMERICA 
-76,7.5, TEXTURE ,3063,25,30,45,0, FAO , SAMERICA 
-76,8, TEXTURE ,3059,25,30,45,0, FAO , SAMERICA 
-76,8.5, TEXTURE ,3055,25,30,45,0, FAO , SAMERICA 
-76,9, TEXTURE ,3051,25,30,45,0, FAO , SAMERICA 
-75.5,0, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-75.5,0.5, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-75.5,1, TEXTURE ,3091,45,40,15,0, FAO , SAMERICA 
-75.5,1.5, TEXTURE ,3090,25,30,45,0, FAO , SAMERICA 
-75.5,2, TEXTURE ,3089,25,30,45,0, FAO , SAMERICA 
-75.5,2.5, TEXTURE ,3088,25,30,45,0, FAO , SAMERICA 
-75.5,3, TEXTURE ,3086,45,40,15,0, FAO , SAMERICA 
-75.5,3.5, TEXTURE ,3085,45,40,15,0, FAO , SAMERICA 
