-73,5.5, DENSITY ,3076,1.31, SAMERICA
-73,6, DENSITY ,3073,1.31, SAMERICA
-73,6.5, DENSITY ,3070,1.27, SAMERICA
-73,7, DENSITY ,3067,1.56, SAMERICA
-73,7.5, DENSITY ,3063,1.56, SAMERICA
-73,8, DENSITY ,3059,1.4, SAMERICA
-73,8.5, DENSITY ,3055,1.4, SAMERICA
-73,9, DENSITY ,3051,1.6, SAMERICA
-73,9.5, DENSITY ,3047,1.49, SAMERICA
-73,10, DENSITY ,3042,1.49, SAMERICA
-73,10.5, DENSITY ,3037,1.55, SAMERICA
-73,11, DENSITY ,3032,1.55, SAMERICA
-72.5,0, DENSITY ,3091,1.39, SAMERICA
-72.5,0.5, DENSITY ,3091,1.39, SAMERICA
-72.5,1, DENSITY ,3091,1.27, SAMERICA
-72.5,1.5, DENSITY ,3090,1.27, SAMERICA
-72.5,2, DENSITY ,3089,1.27, SAMERICA
-72.5,2.5, DENSITY ,3088,1.27, SAMERICA
-72.5,3, DENSITY ,3086,1.27, SAMERICA
-72.5,3.5, DENSITY ,3085,1.27, SAMERICA
-72.5,4, DENSITY ,3083,1.27, SAMERICA
-72.5,4.5, DENSITY ,3081,1.56, SAMERICA
-72.5,5, DENSITY ,3078,1.56, SAMERICA
-72.5,5.5, DENSITY ,3076,1.31, SAMERICA
-72.5,6, DENSITY ,3073,1.31, SAMERICA
-72.5,6.5, DENSITY ,3070,1.27, SAMERICA
-72.5,7, DENSITY ,3067,1.56, SAMERICA
-72.5,7.5, DENSITY ,3063,1.56, SAMERICA
-72.5,8, DENSITY ,3059,1.4, SAMERICA
-72.5,8.5, DENSITY ,3055,1.4, SAMERICA
-72.5,9, DENSITY ,3051,1.6, SAMERICA
-72.5,9.5, DENSITY ,3047,1.49, SAMERICA
-72.5,10, DENSITY ,3042,1.49, SAMERICA
-72.5,10.5, DENSITY ,3037,1.55, SAMERICA
-72.5,11, DENSITY ,3032,1.55, SAMERICA
-72.5,11.5, DENSITY ,3027,1.48, SAMERICA
-72,0, DENSITY ,3091,1.39, SAMERICA
-72,0.5, DENSITY ,3091,1.39, SAMERICA
-72,1, DENSITY ,3091,1.39, SAMERICA
-72,1.5, DENSITY ,3090,1.39, SAMERICA
-72,2, DENSITY ,3089,1.33, SAMERICA
-72,2.5, DENSITY ,3088,1.33, SAMERICA
-72,3, DENSITY ,3086,1.38, SAMERICA
-72,3.5, DENSITY ,3085,1.27, SAMERICA
-72,4, DENSITY ,3083,1.27, SAMERICA
-72,4.5, DENSITY ,3081,1.48, SAMERICA
-72,5, DENSITY ,3078,1.48, SAMERICA
-72,5.5, DENSITY ,3076,1.48, SAMERICA
-72,6, DENSITY ,3073,1.48, SAMERICA
-72,6.5, DENSITY ,3070,1.38, SAMERICA
-72,7, DENSITY ,3067,1.59, SAMERICA
-72,7.5, DENSITY ,3063,1.59, SAMERICA
-72,8, DENSITY ,3059,1.49, SAMERICA
-72,8.5, DENSITY ,3055,1.49, SAMERICA
-72,10, DENSITY ,3042,1.5, SAMERICA
-72,10.5, DENSITY ,3037,1.5, SAMERICA
-72,11.5, DENSITY ,3027,1.42, SAMERICA
-72,12, DENSITY ,3021,1.42, SAMERICA
-71.5,0, DENSITY ,3091,1.39, SAMERICA
-71.5,0.5, DENSITY ,3091,1.39, SAMERICA
-71.5,1, DENSITY ,3091,1.39, SAMERICA
-71.5,1.5, DENSITY ,3090,1.39, SAMERICA
-71.5,2, DENSITY ,3089,1.33, SAMERICA
-71.5,2.5, DENSITY ,3088,1.33, SAMERICA
-71.5,3, DENSITY ,3086,1.38, SAMERICA
-71.5,3.5, DENSITY ,3085,1.27, SAMERICA
-71.5,4, DENSITY ,3083,1.27, SAMERICA
-71.5,4.5, DENSITY ,3081,1.48, SAMERICA
-71.5,5, DENSITY ,3078,1.48, SAMERICA
-71.5,5.5, DENSITY ,3076,1.48, SAMERICA
-71.5,6, DENSITY ,3073,1.48, SAMERICA
-71.5,6.5, DENSITY ,3070,1.38, SAMERICA
-71.5,7, DENSITY ,3067,1.59, SAMERICA
-71.5,7.5, DENSITY ,3063,1.59, SAMERICA
-71.5,8, DENSITY ,3059,1.49, SAMERICA
-71.5,8.5, DENSITY ,3055,1.49, SAMERICA
-71.5,9, DENSITY ,3051,1.48, SAMERICA
-71.5,10, DENSITY ,3042,1.5, SAMERICA
-71.5,10.5, DENSITY ,3037,1.5, SAMERICA
-71.5,12, DENSITY ,3021,1.42, SAMERICA
-71,0, DENSITY ,3091,1.39, SAMERICA
-71,0.5, DENSITY ,3091,1.39, SAMERICA
-71,1, DENSITY ,3091,1.33, SAMERICA
-71,1.5, DENSITY ,3090,1.33, SAMERICA
-71,2, DENSITY ,3089,1.39, SAMERICA
-71,2.5, DENSITY ,3088,1.39, SAMERICA
-71,3, DENSITY ,3086,1.33, SAMERICA
-71,3.5, DENSITY ,3085,1.27, SAMERICA
-71,4, DENSITY ,3083,1.27, SAMERICA
-71,4.5, DENSITY ,3081,1.26, SAMERICA
-71,5, DENSITY ,3078,1.26, SAMERICA
-71,5.5, DENSITY ,3076,1.38, SAMERICA
-71,6, DENSITY ,3073,1.38, SAMERICA
-71,6.5, DENSITY ,3070,1.38, SAMERICA
-71,7, DENSITY ,3067,1.43, SAMERICA
-71,7.5, DENSITY ,3063,1.43, SAMERICA
-71,8, DENSITY ,3059,1.43, SAMERICA
-71,8.5, DENSITY ,3055,1.43, SAMERICA
-71,9, DENSITY ,3051,1.22, SAMERICA
-71,9.5, DENSITY ,3047,1.49, SAMERICA
-71,10, DENSITY ,3042,1.49, SAMERICA
-71,10.5, DENSITY ,3037,1.45, SAMERICA
-71,11, DENSITY ,3032,1.45, SAMERICA
-70.5,0, DENSITY ,3091,1.39, SAMERICA
-70.5,0.5, DENSITY ,3091,1.39, SAMERICA
-70.5,1, DENSITY ,3091,1.33, SAMERICA
-70.5,1.5, DENSITY ,3090,1.33, SAMERICA
-70.5,2, DENSITY ,3089,1.33, SAMERICA
-70.5,2.5, DENSITY ,3088,1.33, SAMERICA
-70.5,3, DENSITY ,3086,1.33, SAMERICA
-70.5,3.5, DENSITY ,3085,1.33, SAMERICA
-70.5,4, DENSITY ,3083,1.33, SAMERICA
-70.5,4.5, DENSITY ,3081,1.27, SAMERICA
-70.5,5, DENSITY ,3078,1.27, SAMERICA
-70.5,5.5, DENSITY ,3076,1.43, SAMERICA
-70.5,6, DENSITY ,3073,1.43, SAMERICA
-70.5,6.5, DENSITY ,3070,1.56, SAMERICA
-70.5,7, DENSITY ,3067,1.43, SAMERICA
-70.5,7.5, DENSITY ,3063,1.43, SAMERICA
-70.5,8, DENSITY ,3059,1.59, SAMERICA
-70.5,8.5, DENSITY ,3055,1.59, SAMERICA
-70.5,9, DENSITY ,3051,1.49, SAMERICA
-70.5,9.5, DENSITY ,3047,1.23, SAMERICA
-70.5,10, DENSITY ,3042,1.23, SAMERICA
-70.5,10.5, DENSITY ,3037,1.45, SAMERICA
-70.5,11, DENSITY ,3032,1.45, SAMERICA
-70,0, DENSITY ,3091,1.39, SAMERICA
-70,0.5, DENSITY ,3091,1.39, SAMERICA
-70,1, DENSITY ,3091,1.33, SAMERICA
-70,1.5, DENSITY ,3090,1.33, SAMERICA
-70,2, DENSITY ,3089,1.33, SAMERICA
-70,2.5, DENSITY ,3088,1.33, SAMERICA
-70,3, DENSITY ,3086,1.33, SAMERICA
-70,3.5, DENSITY ,3085,1.33, SAMERICA
-70,4, DENSITY ,3083,1.33, SAMERICA
-70,4.5, DENSITY ,3081,1.27, SAMERICA
-70,5, DENSITY ,3078,1.27, SAMERICA
-70,5.5, DENSITY ,3076,1.43, SAMERICA
-70,6, DENSITY ,3073,1.43, SAMERICA
-70,6.5, DENSITY ,3070,1.56, SAMERICA
-70,7, DENSITY ,3067,1.43, SAMERICA
-70,7.5, DENSITY ,3063,1.43, SAMERICA
-70,8, DENSITY ,3059,1.59, SAMERICA
-70,8.5, DENSITY ,3055,1.59, SAMERICA
-70,9, DENSITY ,3051,1.49, SAMERICA
-70,9.5, DENSITY ,3047,1.23, SAMERICA
-70,10, DENSITY ,3042,1.23, SAMERICA
-70,10.5, DENSITY ,3037,1.45, SAMERICA
-70,11, DENSITY ,3032,1.45, SAMERICA
-69.5,0, DENSITY ,3091,1.39, SAMERICA
-69.5,0.5, DENSITY ,3091,1.39, SAMERICA
-69.5,1, DENSITY ,3091,1.39, SAMERICA
