-72.5,1.5, phh2o ,3090,5.12038, SAMERICA
-72.5,2, phh2o ,3089,5.20633, SAMERICA
-72.5,2.5, phh2o ,3088,5.16876, SAMERICA
-72.5,3, phh2o ,3086,5.21259, SAMERICA
-72.5,3.5, phh2o ,3085,5.18087, SAMERICA
-72.5,4, phh2o ,3083,5.36305, SAMERICA
-72.5,4.5, phh2o ,3081,5.63538, SAMERICA
-72.5,5, phh2o ,3078,5.62266, SAMERICA
-72.5,5.5, phh2o ,3076,5.97288, SAMERICA
-72.5,6, phh2o ,3073,5.82609, SAMERICA
-72.5,6.5, phh2o ,3070,5.73006, SAMERICA
-72.5,7, phh2o ,3067,6.0836, SAMERICA
-72.5,7.5, phh2o ,3063,6.61652, SAMERICA
-72.5,8, phh2o ,3059,7.18213, SAMERICA
-72.5,8.5, phh2o ,3055,5.89776, SAMERICA
-72.5,9, phh2o ,3051,6.79521, SAMERICA
-72.5,9.5, phh2o ,3047,6.79107, SAMERICA
-72.5,10, phh2o ,3042,6.35382, SAMERICA
-72.5,10.5, phh2o ,3037,7.86167, SAMERICA
-72.5,11, phh2o ,3032,7.5342, SAMERICA
-72.5,11.5, phh2o ,3027,8.35238, SAMERICA
-72,0, phh2o ,3091,5.03502, SAMERICA
-72,0.5, phh2o ,3091,4.99636, SAMERICA
-72,1, phh2o ,3091,4.92766, SAMERICA
-72,1.5, phh2o ,3090,4.92685, SAMERICA
-72,2, phh2o ,3089,5.18365, SAMERICA
-72,2.5, phh2o ,3088,5.16876, SAMERICA
-72,3, phh2o ,3086,5.16876, SAMERICA
-72,3.5, phh2o ,3085,5.10599, SAMERICA
-72,4, phh2o ,3083,5.13448, SAMERICA
-72,4.5, phh2o ,3081,5.4327, SAMERICA
-72,5, phh2o ,3078,5.62876, SAMERICA
-72,5.5, phh2o ,3076,5.44344, SAMERICA
-72,6, phh2o ,3073,5.51905, SAMERICA
-72,6.5, phh2o ,3070,6.87953, SAMERICA
-72,7, phh2o ,3067,6.21165, SAMERICA
-72,7.5, phh2o ,3063,5.94289, SAMERICA
-72,8, phh2o ,3059,6.99641, SAMERICA
-72,8.5, phh2o ,3055,5.50177, SAMERICA
-72,10, phh2o ,3042,6.56518, SAMERICA
-72,10.5, phh2o ,3037,7.14464, SAMERICA
-72,11.5, phh2o ,3027,8.21615, SAMERICA
-72,12, phh2o ,3021,7.05863, SAMERICA
-71.5,0, phh2o ,3091,5.03502, SAMERICA
-71.5,0.5, phh2o ,3091,4.97657, SAMERICA
-71.5,1, phh2o ,3091,4.92669, SAMERICA
-71.5,1.5, phh2o ,3090,4.91994, SAMERICA
-71.5,2, phh2o ,3089,5.0668, SAMERICA
-71.5,2.5, phh2o ,3088,5.16185, SAMERICA
-71.5,3, phh2o ,3086,5.16876, SAMERICA
-71.5,3.5, phh2o ,3085,5.14014, SAMERICA
-71.5,4, phh2o ,3083,5.10448, SAMERICA
-71.5,4.5, phh2o ,3081,5.33313, SAMERICA
-71.5,5, phh2o ,3078,5.6713, SAMERICA
-71.5,5.5, phh2o ,3076,5.61918, SAMERICA
-71.5,6, phh2o ,3073,5.70064, SAMERICA
-71.5,6.5, phh2o ,3070,6.56458, SAMERICA
-71.5,7, phh2o ,3067,6.56083, SAMERICA
-71.5,7.5, phh2o ,3063,5.8756, SAMERICA
-71.5,8, phh2o ,3059,6.05667, SAMERICA
-71.5,8.5, phh2o ,3055,6.76377, SAMERICA
