-76.5,0, ELEV ,3091,244, SAMERICA 
-76.5,0.5, ELEV ,3091,308, SAMERICA 
-76.5,1, ELEV ,3091,908, SAMERICA 
-76.5,1.5, ELEV ,3090,1988, SAMERICA 
-76.5,2, ELEV ,3089,2777, SAMERICA 
-76.5,2.5, ELEV ,3088,2642, SAMERICA 
-76.5,3, ELEV ,3086,1768, SAMERICA 
-76.5,3.5, ELEV ,3085,1626, SAMERICA 
-76.5,4, ELEV ,3083,1324, SAMERICA 
-76.5,4.5, ELEV ,3081,1643, SAMERICA 
-76.5,5, ELEV ,3078,1209, SAMERICA 
-76.5,5.5, ELEV ,3076,1460, SAMERICA 
-76.5,6, ELEV ,3073,1659, SAMERICA 
-76.5,6.5, ELEV ,3070,1575, SAMERICA 
-76.5,7, ELEV ,3067,965, SAMERICA 
-76.5,7.5, ELEV ,3063,400, SAMERICA 
-76.5,8, ELEV ,3059,227, SAMERICA 
-76.5,8.5, ELEV ,3055,132, SAMERICA 
-76,0, ELEV ,3091,244, SAMERICA 
-76,0.5, ELEV ,3091,274, SAMERICA 
-76,1, ELEV ,3091,376, SAMERICA 
-76,1.5, ELEV ,3090,1372, SAMERICA 
-76,2, ELEV ,3089,1355, SAMERICA 
-76,2.5, ELEV ,3088,1795, SAMERICA 
-76,3, ELEV ,3086,2256, SAMERICA 
-76,3.5, ELEV ,3085,2540, SAMERICA 
-76,4, ELEV ,3083,2211, SAMERICA 
-76,4.5, ELEV ,3081,1554, SAMERICA 
-76,5, ELEV ,3078,1487, SAMERICA 
-76,5.5, ELEV ,3076,1439, SAMERICA 
-76,6, ELEV ,3073,1744, SAMERICA 
-76,6.5, ELEV ,3070,2049, SAMERICA 
-76,7, ELEV ,3067,1710, SAMERICA 
-76,7.5, ELEV ,3063,704, SAMERICA 
-76,8, ELEV ,3059,135, SAMERICA 
-76,8.5, ELEV ,3055,129, SAMERICA 
-76,9, ELEV ,3051,61, SAMERICA 
-75.5,0, ELEV ,3091,251, SAMERICA 
-75.5,0.5, ELEV ,3091,257, SAMERICA 
-75.5,1, ELEV ,3091,298, SAMERICA 
-75.5,1.5, ELEV ,3090,515, SAMERICA 
-75.5,2, ELEV ,3089,1558, SAMERICA 
-75.5,2.5, ELEV ,3088,1270, SAMERICA 
-75.5,3, ELEV ,3086,843, SAMERICA 
-75.5,3.5, ELEV ,3085,776, SAMERICA 
-75.5,4, ELEV ,3083,1263, SAMERICA 
-75.5,4.5, ELEV ,3081,2933, SAMERICA 
-75.5,5, ELEV ,3078,2300, SAMERICA 
-75.5,5.5, ELEV ,3076,2117, SAMERICA 
-75.5,6, ELEV ,3073,1974, SAMERICA 
-75.5,6.5, ELEV ,3070,1829, SAMERICA 
-75.5,7, ELEV ,3067,897, SAMERICA 
-75.5,7.5, ELEV ,3063,169, SAMERICA 
-75.5,8, ELEV ,3059,58, SAMERICA 
-75.5,8.5, ELEV ,3055,68, SAMERICA 
-75.5,9, ELEV ,3051,132, SAMERICA 
-75.5,9.5, ELEV ,3047,220, SAMERICA 
-75.5,10, ELEV ,3042,122, SAMERICA 
-75.5,10.5, ELEV ,3037,85, SAMERICA 
-75,0, ELEV ,3091,264, SAMERICA 
-75,0.5, ELEV ,3091,278, SAMERICA 
-75,1, ELEV ,3091,312, SAMERICA 
-75,1.5, ELEV ,3090,332, SAMERICA 
-75,2, ELEV ,3089,555, SAMERICA 
-75,2.5, ELEV ,3088,1659, SAMERICA 
-75,3, ELEV ,3086,1490, SAMERICA 
-75,3.5, ELEV ,3085,1378, SAMERICA 
-75,4, ELEV ,3083,637, SAMERICA 
-75,4.5, ELEV ,3081,789, SAMERICA 
-75,5, ELEV ,3078,633, SAMERICA 
-75,5.5, ELEV ,3076,437, SAMERICA 
-75,6, ELEV ,3073,657, SAMERICA 
-75,6.5, ELEV ,3070,897, SAMERICA 
-75,7, ELEV ,3067,586, SAMERICA 
-75,7.5, ELEV ,3063,274, SAMERICA 
-75,8, ELEV ,3059,71, SAMERICA 
-75,8.5, ELEV ,3055,61, SAMERICA 
-75,9, ELEV ,3051,44, SAMERICA 
-75,9.5, ELEV ,3047,71, SAMERICA 
-75,10, ELEV ,3042,112, SAMERICA 
-75,10.5, ELEV ,3037,68, SAMERICA 
-74.5,0, ELEV ,3091,251, SAMERICA 
-74.5,0.5, ELEV ,3091,288, SAMERICA 
-74.5,1, ELEV ,3091,305, SAMERICA 
-74.5,1.5, ELEV ,3090,305, SAMERICA 
-74.5,2, ELEV ,3089,329, SAMERICA 
-74.5,2.5, ELEV ,3088,474, SAMERICA 
-74.5,3, ELEV ,3086,1006, SAMERICA 
-74.5,3.5, ELEV ,3085,2675, SAMERICA 
-74.5,4, ELEV ,3083,2780, SAMERICA 
-74.5,4.5, ELEV ,3081,2320, SAMERICA 
-74.5,5, ELEV ,3078,1778, SAMERICA 
-74.5,5.5, ELEV ,3076,840, SAMERICA 
-74.5,6, ELEV ,3073,359, SAMERICA 
-74.5,6.5, ELEV ,3070,186, SAMERICA 
-74.5,7, ELEV ,3067,698, SAMERICA 
-74.5,7.5, ELEV ,3063,803, SAMERICA 
-74.5,8, ELEV ,3059,396, SAMERICA 
-74.5,8.5, ELEV ,3055,139, SAMERICA 
-74.5,9, ELEV ,3051,64, SAMERICA 
-74.5,9.5, ELEV ,3047,135, SAMERICA 
-74.5,10, ELEV ,3042,132, SAMERICA 
-74.5,10.5, ELEV ,3037,166, SAMERICA 
-74,0, ELEV ,3091,305, SAMERICA 
-74,0.5, ELEV ,3091,315, SAMERICA 
-74,1, ELEV ,3091,305, SAMERICA 
-74,1.5, ELEV ,3090,305, SAMERICA 
-74,2, ELEV ,3089,559, SAMERICA 
-74,2.5, ELEV ,3088,843, SAMERICA 
-74,3, ELEV ,3086,494, SAMERICA 
-74,3.5, ELEV ,3085,755, SAMERICA 
-74,4, ELEV ,3083,1822, SAMERICA 
-74,4.5, ELEV ,3081,2709, SAMERICA 
-74,5, ELEV ,3078,2889, SAMERICA 
-74,5.5, ELEV ,3076,2398, SAMERICA 
-74,6, ELEV ,3073,1202, SAMERICA 
